Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W)
126, 11/28/2024, 13:11:33.275,0.00032224
127, 11/28/2024, 13:11:34.290,0.00032226
128, 11/28/2024, 13:11:35.303,0.00032223
129, 11/28/2024, 13:11:36.317,0.00032218
130, 11/28/2024, 13:11:37.328,0.00032226
131, 11/28/2024, 13:11:38.341,0.00032214
132, 11/28/2024, 13:11:39.352,0.00032216
133, 11/28/2024, 13:11:40.366,0.00032215
134, 11/28/2024, 13:11:41.377,0.00032212
135, 11/28/2024, 13:11:42.390,0.00032215
136, 11/28/2024, 13:11:43.401,0.00032221
137, 11/28/2024, 13:11:44.414,0.00032225
138, 11/28/2024, 13:11:45.427,0.00032217
139, 11/28/2024, 13:11:46.440,0.00032224
140, 11/28/2024, 13:11:47.456,0.00032216
141, 11/28/2024, 13:11:48.470,0.00032221
142, 11/28/2024, 13:11:49.482,0.00032204
143, 11/28/2024, 13:11:50.496,0.00032213
144, 11/28/2024, 13:11:51.512,0.00032208
145, 11/28/2024, 13:11:52.524,0.00032217
146, 11/28/2024, 13:11:53.537,0.00032212
147, 11/28/2024, 13:11:54.551,0.0003221
148, 11/28/2024, 13:11:55.569,0.00032207
149, 11/28/2024, 13:11:56.585,0.00032212
150, 11/28/2024, 13:11:57.598,0.00032226
151, 11/28/2024, 13:11:58.609,0.00032222
152, 11/28/2024, 13:11:59.620,0.0003223
153, 11/28/2024, 13:12:00.631,0.00032227
154, 11/28/2024, 13:12:01.642,0.00032227
155, 11/28/2024, 13:12:02.653,0.00032229
156, 11/28/2024, 13:12:03.666,0.00032228
157, 11/28/2024, 13:12:04.678,0.00032229
158, 11/28/2024, 13:12:05.691,0.00032219
159, 11/28/2024, 13:12:06.710,0.00032216
160, 11/28/2024, 13:12:07.721,0.00032215
161, 11/28/2024, 13:12:08.733,0.00032207
162, 11/28/2024, 13:12:09.749,0.00032206
163, 11/28/2024, 13:12:10.762,0.00032203
164, 11/28/2024, 13:12:11.774,0.00032204
165, 11/28/2024, 13:12:12.790,0.00032201
166, 11/28/2024, 13:12:13.795,0.00032208
167, 11/28/2024, 13:12:14.807,0.0003221
168, 11/28/2024, 13:12:15.818,0.00032212
169, 11/28/2024, 13:12:16.827,0.00032217
170, 11/28/2024, 13:12:17.840,0.00032216
171, 11/28/2024, 13:12:18.852,0.00032226
172, 11/28/2024, 13:12:19.867,0.00032221
173, 11/28/2024, 13:12:20.885,0.00032226
174, 11/28/2024, 13:12:21.161,0.0003222
175, 11/28/2024, 13:12:22.171,0.00032227
176, 11/28/2024, 13:12:23.186,0.00032221
177, 11/28/2024, 13:12:24.200,0.00032216
178, 11/28/2024, 13:12:25.212,0.00032208
179, 11/28/2024, 13:12:26.225,0.00032213
180, 11/28/2024, 13:12:27.238,0.00032214
181, 11/28/2024, 13:12:28.252,0.00032211
182, 11/28/2024, 13:12:29.269,0.00032209
183, 11/28/2024, 13:12:30.282,0.00032212
184, 11/28/2024, 13:12:31.295,0.0003221
185, 11/28/2024, 13:12:32.311,0.00032208
186, 11/28/2024, 13:12:33.324,0.00032213
187, 11/28/2024, 13:12:34.337,0.0003221
188, 11/28/2024, 13:12:35.347,0.00032212
189, 11/28/2024, 13:12:36.359,0.00032218
190, 11/28/2024, 13:12:37.370,0.00032218
191, 11/28/2024, 13:12:38.388,0.00032225
192, 11/28/2024, 13:12:39.397,0.00032221
193, 11/28/2024, 13:12:40.413,0.00032215
194, 11/28/2024, 13:12:41.425,0.00032211
195, 11/28/2024, 13:12:42.434,0.00032209
196, 11/28/2024, 13:12:43.450,0.000322
197, 11/28/2024, 13:12:44.459,0.00032208
198, 11/28/2024, 13:12:45.470,0.00032208
199, 11/28/2024, 13:12:46.480,0.00032206
200, 11/28/2024, 13:12:47.492,0.00032206
201, 11/28/2024, 13:12:48.501,0.00032217
202, 11/28/2024, 13:12:49.511,0.00032225
203, 11/28/2024, 13:12:50.526,0.00032219
204, 11/28/2024, 13:12:51.539,0.00032222
205, 11/28/2024, 13:12:52.550,0.00032231
206, 11/28/2024, 13:12:53.564,0.00032229
207, 11/28/2024, 13:12:54.580,0.00032228
208, 11/28/2024, 13:12:55.593,0.00032214
209, 11/28/2024, 13:12:56.607,0.00032214
210, 11/28/2024, 13:12:57.619,0.00032206
211, 11/28/2024, 13:12:58.630,0.00032219
212, 11/28/2024, 13:12:59.643,0.0003222
213, 11/28/2024, 13:13:00.654,0.00032215
214, 11/28/2024, 13:13:01.667,0.00032225
215, 11/28/2024, 13:13:02.679,0.00032224
216, 11/28/2024, 13:13:03.692,0.00032223
217, 11/28/2024, 13:13:04.706,0.00032231
218, 11/28/2024, 13:13:05.718,0.00032231
219, 11/28/2024, 13:13:06.729,0.00032233
220, 11/28/2024, 13:13:07.745,0.00032226
221, 11/28/2024, 13:13:08.758,0.00032225
222, 11/28/2024, 13:13:09.769,0.00032216
223, 11/28/2024, 13:13:10.781,0.00032211
224, 11/28/2024, 13:13:11.794,0.00032214
225, 11/28/2024, 13:13:12.805,0.00032212
226, 11/28/2024, 13:13:13.814,0.00032223
227, 11/28/2024, 13:13:14.828,0.00032229
228, 11/28/2024, 13:13:15.840,0.00032221
